City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Khatanga,RU,2020-06-28 16:06:27,71.97,102.5,77.09,43,44,11.01
70,Tezu,IN,2020-06-28 16:06:27,27.92,96.17,75.56,77,34,3.11
71,Mataura,NZ,2020-06-28 16:03:58,-46.19,168.86,41.68,90,99,4.32
72,Sri Aman,MY,2020-06-28 16:06:27,1.24,111.46,80.6,88,92,1.12
73,Tutin,RS,2020-06-28 16:06:27,42.99,20.33,72.52,73,98,2.59
74,Mosquera,CO,2020-06-28 16:06:27,4.71,-74.23,56.1,81,100,0.96
75,Kapaa,US,2020-06-28 16:05:16,22.08,-159.32,73.4,94,75,4.7
76,Sept-Iles,CA,2020-06-28 16:06:27,50.2,-66.38,59.0,87,75,10.29
77,Yeppoon,AU,2020-06-28 16:06:28,-23.13,150.73,60.8,77,75,5.82
78,Kaitangata,NZ,2020-06-28 16:06:28,-46.28,169.85,46.0,73,100,8.01
79,Sitka,US,2020-06-28 16:06:28,57.05,-135.33,53.6,81,75,9.17
80,Georgetown,MY,2020-06-28 16:04:27,5.41,100.34,86.0,74,40,10.29
81,Hermanus,ZA,2020-06-28 16:06:28,-34.42,19.23,59.0,73,28,3.0
82,Eureka,US,2020-06-28 16:02:37,40.8,-124.16,60.8,63,1,5.82
83,Bredasdorp,ZA,2020-06-28 16:04:16,-34.53,20.04,60.8,63,33,9.17
84,Roma,US,2020-06-28 16:03:43,43.21,-75.46,75.0,78,90,6.93
85,Nikolskoye,RU,2020-06-28 16:06:28,59.7,30.79,68.0,40,0,11.18
86,Ushuaia,AR,2020-06-28 16:06:28,-54.8,-68.3,35.6,69,75,19.46
87,Novorzhev,RU,2020-06-28 16:06:28,57.03,29.33,77.41,64,41,5.46
88,Oussouye,SN,2020-06-28 16:06:28,12.48,-16.55,93.2,74,40,6.93
89,Inowroclaw,PL,2020-06-28 16:06:29,52.8,18.26,86.0,45,40,11.41
90,Acapulco,MX,2020-06-28 16:06:20,16.86,-99.89,84.2,66,20,5.82
91,Victoria,HK,2020-06-28 16:01:54,22.29,114.16,84.0,78,99,8.05
92,Shemonaikha,KZ,2020-06-28 16:06:29,50.63,81.91,55.92,59,91,4.14
93,Punta Arenas,CL,2020-06-28 16:06:09,-53.15,-70.92,32.0,86,0,5.82
94,Laguna,US,2020-06-28 16:06:29,38.42,-121.42,68.0,67,1,13.87
95,Ribeira Grande,PT,2020-06-28 16:04:04,38.52,-28.7,71.6,88,75,17.22
96,Esperance,AU,2020-06-28 16:06:29,-33.87,121.9,57.2,93,90,17.22
97,Rugeley,GB,2020-06-28 16:06:29,52.76,-1.94,59.0,61,97,11.01
98,Saskylakh,RU,2020-06-28 16:04:00,71.92,114.08,69.39,52,92,8.86
99,Tiksi,RU,2020-06-28 16:06:29,71.69,128.87,40.06,71,91,3.49
100,Mar Del Plata,AR,2020-06-28 16:05:22,-38.0,-57.56,48.2,76,20,4.7
101,Sindor,RU,2020-06-28 16:06:30,62.86,51.89,46.2,72,96,7.16
102,Ilheus,BR,2020-06-28 16:06:24,-14.79,-39.05,80.04,58,12,5.59
103,Alta Floresta,BR,2020-06-28 16:06:30,-9.88,-56.09,89.35,40,0,6.78
104,Vaini,TO,2020-06-28 16:06:30,-21.2,-175.2,75.2,94,75,4.7
105,Arraial Do Cabo,BR,2020-06-28 16:06:29,-22.97,-42.03,75.2,73,40,16.11
106,Roald,NO,2020-06-28 16:06:30,62.58,6.13,62.6,82,75,9.17
107,Albany,US,2020-06-28 16:06:16,42.6,-73.97,71.6,83,90,4.7
108,Jalu,LY,2020-06-28 16:06:30,29.03,21.55,95.68,16,0,13.51
109,Jaciara,BR,2020-06-28 16:06:30,-15.97,-54.97,88.88,42,17,1.83
110,Cherskiy,RU,2020-06-28 16:04:10,68.75,161.3,38.5,76,94,7.61
111,Port Lincoln,AU,2020-06-28 16:06:30,-34.73,135.87,52.54,56,0,10.83
112,Reconquista,AR,2020-06-28 16:06:30,-29.15,-59.65,58.82,58,52,6.98
113,Mount Isa,AU,2020-06-28 16:06:30,-20.73,139.5,60.8,48,0,5.82
114,Shelburne,CA,2020-06-28 16:06:30,44.08,-80.2,75.2,64,1,6.93
