City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather,Rain last hour,Snow last hour,Date
395,Kieta,-6.22,155.63,83.62,66,79,5.5,PG,light rain,0.13,0,2020-07-01 03:32:30
396,Belmonte,-15.86,-38.88,71.6,88,40,2.24,BR,shower rain,0.0,0,2020-07-01 03:32:31
397,Dhidhdhoo,6.88,73.1,83.37,76,88,11.39,MV,light rain,0.17,0,2020-07-01 03:32:31
398,Saint Anthony,45.02,-93.22,82.4,65,1,8.05,US,moderate rain,0.0,0,2020-07-01 03:30:43
399,Mahebourg,-20.41,57.7,62.6,93,40,6.93,MU,scattered clouds,0.0,0,2020-07-01 03:32:32
400,Libertador General San Martin,-23.81,-64.79,49.6,50,0,2.66,AR,clear sky,0.0,0,2020-07-01 03:32:32
401,Nouadhibou,20.93,-17.03,69.8,83,0,12.75,MR,clear sky,0.0,0,2020-07-01 03:32:32
402,Abu Zabad,12.35,29.25,79.16,58,36,11.16,SD,scattered clouds,0.0,0,2020-07-01 03:32:33
403,Bonthe,7.53,-12.51,77.58,87,96,6.67,SL,light rain,0.4,0,2020-07-01 03:32:33
404,Clarence Town,-32.58,151.78,70.0,42,0,10.29,AU,clear sky,0.0,0,2020-07-01 03:32:33
405,Pontianak,-0.03,109.33,89.44,55,27,2.98,ID,scattered clouds,0.0,0,2020-07-01 03:32:34
406,Rakai,-0.72,31.48,57.78,67,87,3.42,UG,overcast clouds,0.0,0,2020-07-01 03:32:34
407,Tual,-5.67,132.75,79.75,82,38,21.3,ID,light rain,0.25,0,2020-07-01 03:32:34
408,Banda Aceh,5.56,95.32,85.14,67,86,4.83,ID,overcast clouds,0.0,0,2020-07-01 03:32:34
409,Ancud,-41.87,-73.82,50.0,93,90,14.99,CL,overcast clouds,0.0,0,2020-07-01 03:32:35
410,Mao,39.89,4.27,73.4,88,0,9.17,ES,clear sky,0.0,0,2020-07-01 03:32:35
411,Mercogliano,40.92,14.74,70.0,76,0,1.3,IT,clear sky,0.0,0,2020-07-01 03:32:36
412,Ponta Do Sol,32.67,-17.1,71.6,64,40,10.29,PT,scattered clouds,0.0,0,2020-07-01 03:29:52
413,Diffa,13.32,12.61,79.32,57,0,7.92,NE,clear sky,0.0,0,2020-07-01 03:32:36
414,Aqtobe,50.28,57.21,57.2,58,61,8.95,KZ,broken clouds,0.0,0,2020-07-01 03:29:20
415,Inhambane,-23.86,35.38,65.93,78,35,9.78,MZ,scattered clouds,0.0,0,2020-07-01 03:32:37
416,Ponta Delgada,37.73,-25.67,66.99,88,75,4.7,PT,broken clouds,0.0,0,2020-07-01 03:32:37
417,Fairbanks,64.84,-147.72,54.0,71,75,8.19,US,light rain,0.76,0,2020-07-01 03:32:37
418,Tawau,4.25,117.89,87.8,70,40,4.7,MY,scattered clouds,0.0,0,2020-07-01 03:32:38
419,Adrar,20.5,-10.07,90.34,34,0,10.45,MR,clear sky,0.0,0,2020-07-01 03:32:38
420,Los Llanos De Aridane,28.66,-17.92,69.8,88,90,13.87,ES,overcast clouds,0.0,0,2020-07-01 03:32:39
421,Sibu,2.3,111.82,86.0,74,40,3.36,MY,scattered clouds,0.0,0,2020-07-01 03:30:23
422,Sekoma,-24.4,23.88,45.3,83,0,10.92,BW,clear sky,0.0,0,2020-07-01 03:32:39
423,Sept-Iles,50.2,-66.38,53.6,93,20,2.24,CA,few clouds,0.0,0,2020-07-01 03:30:08
424,Morgan City,29.7,-91.21,82.4,94,1,5.82,US,clear sky,0.0,0,2020-07-01 03:32:40
425,Qinzhou,21.95,108.62,93.65,54,98,11.18,CN,overcast clouds,0.0,0,2020-07-01 03:32:40
426,General Roca,-39.03,-67.58,42.8,87,75,3.36,AR,broken clouds,0.0,0,2020-07-01 03:32:40
427,Saint George,37.1,-113.58,84.99,10,1,6.93,US,clear sky,0.0,0,2020-07-01 03:29:02
428,Saint-Georges,12.06,-61.75,80.6,88,20,16.11,GD,few clouds,0.0,0,2020-07-01 03:32:41
429,Guastatoya,14.85,-90.06,66.2,88,75,9.17,GT,broken clouds,0.0,0,2020-07-01 03:32:42
430,Chico,39.73,-121.84,89.6,21,1,5.82,US,clear sky,0.0,0,2020-07-01 03:30:01
431,Santiago Del Estero,-27.8,-64.26,52.43,43,0,9.64,AR,clear sky,0.0,0,2020-07-01 03:32:42
